Maximal delay (s),#Centers
0,6430
15,4028
30,1980
45,1202
60,758
75,548
90,384
105,302
120,230
135,193
150,162
165,137
180,119
195,104
210,89
225,80
240,72
255,65
270,60
285,55
300,50
315,45
330,41
345,39
360,36
375,33
390,31
405,28
420,27
435,25
450,24
465,22
480,22
495,19
510,26
525,27
540,25
555,24
570,22
585,20
600,21
615,19
630,19
645,19
660,18
675,14
690,14
705,15
720,14
735,13
750,12
765,11
780,11
795,11
810,11
825,9
840,9
855,9
870,8
885,8
900,8
915,8
930,8
945,7
960,7
975,7
990,7
1005,7
1020,7
1035,7
1050,7
1065,7
1080,6
1095,6
1110,6
1125,6
1140,6
1155,5
1170,5
1185,5
1200,5
