step,Total demand,Serviced demand,Battery level,Reward
0,0,0,0,2147381.4337041117
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,1,1,0,
17,1,1,0,
18,3,3,0,
19,0,0,0,
20,6,6,0,
21,5,5,0,
22,3,3,0,
23,2,2,0,
24,3,3,0,
25,2,2,0,
26,0,0,0,
27,3,3,0,
28,0,0,0,
29,1,1,0,
30,0,0,0,
31,1,1,0,
32,4,4,0,
33,0,0,0,
34,3,3,0,
35,1,1,0,
36,4,4,0,
37,1,1,0,
38,0,0,0,
39,5,5,0,
40,3,3,0,
41,7,7,0,
42,4,4,0,
43,5,5,0,
44,2,2,0,
45,6,6,0,
46,2,2,0,
47,1,1,0,
48,4,4,0,
49,5,5,0,
50,5,5,0,
51,2,2,0,
52,4,4,0,
53,3,3,0,
54,3,3,0,
55,5,5,0,
56,9,9,0,
57,3,3,0,
58,6,6,0,
59,10,10,0,
60,8,8,0,
61,6,5,0,
62,6,6,0,
63,6,6,0,
64,6,6,0,
65,4,4,0,
66,4,4,0,
67,8,8,0,
68,10,10,0,
69,9,9,0,
70,6,6,0,
71,8,8,0,
72,9,9,0,
73,6,6,0,
74,7,5,0,
75,5,4,0,
76,5,5,0,
77,7,6,0,
78,5,5,0,
79,16,16,0,
80,5,5,0,
81,11,10,0,
82,11,11,0,
83,9,9,0,
84,12,11,0,
85,7,7,0,
86,11,11,0,
87,8,7,0,
88,12,11,0,
89,17,16,0,
90,10,10,0,
91,15,14,0,
92,4,4,0,
93,12,12,0,
94,14,14,0,
95,12,12,0,
96,16,16,0,
97,15,14,0,
98,9,7,0,
99,13,13,0,
100,13,13,0,
101,14,13,0,
102,14,14,0,
103,18,17,0,
104,16,16,0,
105,20,20,0,
106,12,11,0,
107,10,9,0,
108,16,16,0,
109,14,13,0,
110,20,20,0,
111,19,19,0,
112,16,16,0,
113,27,25,0,
114,14,14,0,
115,14,13,0,
116,20,20,0,
117,16,12,0,
118,19,18,0,
119,21,19,0,
120,18,17,0,
121,18,16,0,
122,20,19,0,
123,27,27,0,
124,26,26,0,
125,28,28,0,
126,22,22,0,
127,22,18,0,
128,25,25,0,
129,22,22,0,
130,23,23,0,
131,24,22,0,
132,19,19,0,
133,29,27,0,
134,22,19,0,
135,27,21,0,
136,16,13,0,
137,24,21,0,
138,27,27,0,
139,24,23,0,
140,26,26,0,
141,26,25,0,
142,31,29,0,
143,26,25,0,
144,30,30,0,
145,17,17,0,
146,27,27,0,
147,22,21,0,
148,22,21,0,
149,24,19,0,
150,33,31,0,
151,30,24,0,
152,36,32,0,
153,36,35,0,
154,40,34,0,
155,28,27,0,
156,29,29,0,
157,31,27,0,
158,23,23,0,
159,27,27,0,
160,36,35,0,
161,43,42,0,
162,28,23,0,
163,29,29,0,
164,36,34,0,
165,35,31,0,
166,36,34,0,
167,28,25,0,
168,40,37,0,
169,30,30,0,
170,38,38,0,
171,27,27,0,
172,37,36,0,
173,38,34,0,
174,31,30,0,
175,33,32,0,
176,40,40,0,
177,38,38,0,
178,42,39,0,
179,32,32,0,
180,36,36,0,
181,36,36,0,
182,39,37,0,
183,43,43,0,
184,44,42,0,
185,41,27,0,
186,50,33,0,
187,34,28,0,
188,35,33,0,
189,43,30,0,
190,39,38,0,
191,35,34,0,
192,31,31,0,
193,32,32,0,
194,40,40,0,
195,40,40,0,
196,51,51,0,
197,32,32,0,
198,41,41,0,
199,41,41,0,
200,44,38,0,
201,32,32,0,
202,33,33,0,
203,47,47,0,
204,36,36,0,
205,31,31,0,
206,37,37,0,
207,36,36,0,
208,46,46,0,
209,33,33,0,
210,37,37,0,
211,38,38,0,
212,46,46,0,
213,39,39,0,
214,41,41,0,
215,42,42,0,
216,33,33,0,
217,49,49,0,
218,34,34,0,
219,45,45,0,
220,39,39,0,
221,39,39,0,
222,41,40,0,
223,42,42,0,
224,40,40,0,
225,31,31,0,
226,38,38,0,
227,45,44,0,
228,33,33,0,
229,49,49,0,
230,50,49,0,
231,37,37,0,
232,40,40,0,
233,46,46,0,
234,39,39,0,
235,42,41,0,
236,41,39,0,
237,49,49,0,
238,35,35,0,
239,58,49,0,
240,39,39,0,
241,40,40,0,
242,35,30,0,
243,41,41,0,
244,31,31,0,
245,38,38,0,
246,47,47,0,
247,53,53,0,
248,39,39,0,
249,45,43,0,
250,36,36,0,
251,37,37,0,
252,37,37,0,
253,35,35,0,
254,37,37,0,
255,0,0,0,
256,0,0,0,
257,0,0,0,
258,0,0,0,
259,0,0,0,
260,0,0,0,
261,0,0,0,
262,0,0,0,
263,0,0,0,
264,0,0,0,
265,0,0,0,
266,0,0,0,
267,0,0,0,
268,0,0,0,
269,0,0,0,
270,0,0,0,
271,0,0,0,
272,0,0,0,
273,0,0,0,
274,0,0,0,
275,0,0,0,
276,0,0,0,
277,0,0,0,
278,0,0,0,
279,0,0,0,
280,0,0,0,
281,0,0,0,
282,0,0,0,
283,0,0,0,
284,0,0,0,
