,"STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)_MATCH_MAX_NEIGHBORS=4_MATCH_LEVEL=2_MATCH_METHOD=0","STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)_MATCH_MAX_NEIGHBORS=8_MATCH_LEVEL=2_MATCH_METHOD=0","STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)_MATCH_MAX_NEIGHBORS=4_MATCH_LEVEL=3_MATCH_METHOD=0","STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)_MATCH_MAX_NEIGHBORS=4_MATCH_LEVEL=1_MATCH_METHOD=0","STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)_MATCH_MAX_NEIGHBORS=8_MATCH_LEVEL=3_MATCH_METHOD=0","STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)_MATCH_MAX_NEIGHBORS=8_MATCH_LEVEL=1_MATCH_METHOD=0"
0,7306.826957099998,7305.044696999995,11116.223840499995,5838.303541800001,16238.142745399997,16269.352060499996
1,6095.7463346,6148.040655499998,10531.218176300008,4822.440321800001,14794.004278100005,14974.561146199998
2,7272.5895515,7138.094838400001,10962.4424762,5257.543870700001,14771.253611199998,14901.052429600006
3,7676.775080599999,7527.678706700002,11155.678161699998,5409.719364900002,14941.424926300002,14913.592389900004
4,7708.698330800003,7744.517853800001,11499.060982800002,5849.9164124,14897.878360699997,14857.032197299997
5,7707.222902099999,7888.9976444999975,11444.330365599999,6028.348864000002,14922.5978445,15024.257507799995
6,7851.132243699999,7805.7523375,11751.712744299994,6099.939942099996,14947.337946200005,14846.452351200005
7,7605.518218999999,7799.9245121,11744.696851100001,6120.963108199997,15015.472482700001,15028.793116599998
8,7941.969279599998,8133.530275599998,11712.233430099988,6438.453595099993,14703.8346262,14648.262883399999
9,7731.933847400003,7950.2672681,11474.997995499998,6316.274319800001,14615.631629900008,14741.174619500005
10,7980.173465000003,8077.2137607,11813.117,6431.577732299996,14852.701919999992,14815.238430399999
11,7997.964283200004,8033.318806800004,11703.180059499991,6335.446877199999,15037.795140700004,15046.231255199997
12,7836.927296999998,8047.224029699999,11639.056719100001,6325.538899100001,14838.019262900003,14864.543083100003
13,7918.878145199999,8265.9042919,11722.337071100004,6390.847183899999,14886.027291100001,14912.5070357
14,8081.969614099999,8299.588095100002,11706.281760399997,6410.972626299999,14984.274454500008,14993.483018799996
15,8076.5337189999955,8365.593422,11819.913974500001,6440.375483900002,14976.017825799996,14928.359869899998
16,8081.6126939999995,8260.529287499998,11662.027019699999,6500.2815120999985,14660.011889700003,14591.427759899996
17,8256.666053300003,8466.110100400001,11823.4969935,6578.709982000001,14912.290447900003,14973.976723799997
18,8139.770999299994,8251.682615700001,11890.965532000006,6574.181878000001,14904.840441600003,14957.415880899998
19,8089.4575359,8292.841165799997,11830.181354799997,6602.148974499998,15047.110818499996,15012.647035000002
20,8194.205432100001,8403.3374365,11843.9652006,6527.700290899998,14874.531389400006,14824.72036709999
21,8202.5985722,8355.012608299998,11600.9036317,6590.896703900004,14861.5390905,14859.371675300004
22,8065.110663200001,8221.175806899999,11789.602937200001,6491.3033469999955,14944.155916700001,14849.472904299993
23,7893.404449199998,8100.7863413,11685.480408199996,6414.4791134,14951.790046899994,14967.048789000002
24,8094.396523100001,8316.969497799997,11629.065334499996,6713.610732199997,15005.1175946,15025.867940400005
25,8185.367649499999,8385.039864599998,11729.479669499999,6437.062052499998,15010.424307599993,15031.95522260001
26,8015.185147599999,8229.4049426,11617.344460900005,6348.6121196,14983.858261900006,14963.7210689
27,8105.499534499999,8403.1978783,11914.599802500003,6397.279392599998,15006.119140300001,14996.418854599999
28,8234.076749,8514.505727700001,11776.995022600002,6406.581066700002,14943.078848099996,14994.971369899993
29,8013.033156099998,8276.117099699999,11791.1811163,6386.291624799998,14934.298648000002,14988.276185699995
